time	value
2026-03-25 17:10:14.870	44.1
2026-03-25 17:11:15.169	42.6
2026-03-25 17:12:15.479	54.0
2026-03-25 17:13:15.807	41.7
2026-03-25 17:14:16.161	40.5
2026-03-25 17:15:16.486	39.7
2026-03-25 17:16:16.767	39.8
2026-03-25 17:39:05.348	32.7
2026-03-25 17:40:05.705	33.8
2026-03-25 17:41:06.015	60.7
2026-03-25 17:42:06.338	59.7
2026-03-25 17:42:34.041	66.9
2026-03-25 17:43:34.374	60.2
2026-03-25 17:44:34.705	61.2
2026-03-25 17:45:35.003	63.4
2026-03-25 17:45:58.188	61.8
2026-03-25 17:46:58.489	60.4
2026-03-25 17:47:58.770	61.7
2026-03-25 17:48:59.087	57.4
2026-03-25 17:49:59.398	59.9
2026-03-25 17:50:59.697	61.9
2026-03-25 17:51:59.996	62.6
2026-03-25 17:52:37.805	58.0
2026-03-25 17:53:54.732	55.8
2026-03-25 17:54:55.050	53.9
2026-03-25 17:55:55.353	56.1
2026-03-25 17:56:55.712	51.3
2026-03-25 17:57:55.998	51.6
2026-03-25 17:58:56.561	54.2
2026-03-25 17:59:56.893	46.9
2026-03-25 18:00:57.173	43.7
2026-03-25 18:01:57.462	42.2
2026-03-25 18:02:57.739	40.2
2026-03-25 18:03:58.024	39.6
2026-03-25 18:04:58.308	38.9
2026-03-25 18:05:58.702	38.8
2026-03-25 18:06:58.988	36.3
2026-03-25 18:07:59.279	34.3
2026-03-25 18:08:59.550	32.0
2026-03-25 18:09:59.853	32.0
2026-03-25 18:11:00.344	29.9
2026-03-25 18:12:00.837	30.2
2026-03-25 18:13:01.154	28.7
2026-03-25 18:29:06.156	27.0
2026-03-25 18:30:06.498	23.3
2026-03-25 18:31:06.842	21.9
2026-03-25 18:32:07.176	20.6
2026-03-25 18:33:07.721	23.1
2026-03-25 18:34:08.339	19.2
2026-03-25 18:35:08.867	18.2
2026-03-25 18:36:09.412	17.8
2026-03-25 18:37:10.032	17.1
2026-03-25 18:38:10.727	15.5
2026-03-25 18:39:11.271	13.1
2026-03-25 18:40:11.776	12.8
2026-03-25 18:41:12.278	12.2
2026-03-25 18:42:12.832	12.0
2026-03-25 18:43:13.388	13.6
2026-03-25 18:44:13.865	11.5
2026-03-25 18:45:14.367	11.7
2026-03-25 18:46:14.950	11.6
2026-03-25 18:47:15.438	11.4
2026-03-25 18:48:15.978	9.7
2026-03-25 18:49:16.494	10.2
2026-03-25 18:50:17.281	9.5
2026-03-25 18:51:17.759	10.1
2026-03-25 18:52:18.320	9.5
2026-03-25 18:53:18.836	9.1
2026-03-25 18:54:19.370	9.0
2026-03-25 18:55:19.876	9.1
2026-03-25 18:56:20.446	8.6
2026-03-25 18:57:20.980	8.4
2026-03-25 18:58:21.496	8.2
2026-03-25 18:59:22.032	7.7
2026-03-25 19:00:22.579	8.2
2026-03-25 19:01:23.095	8.1
2026-03-25 19:02:23.541	9.6
2026-03-25 19:03:24.048	8.7
2026-03-25 19:04:24.536	7.5
2026-03-25 19:05:25.032	8.3
2026-03-25 19:06:25.560	7.1
2026-03-25 19:07:26.036	8.7
2026-03-25 19:08:26.508	6.9
2026-03-25 19:09:27.040	6.0
2026-03-25 19:10:27.593	9.1
2026-03-25 21:19:33.437	6.6
2026-03-25 21:20:33.730	6.7
2026-03-25 21:21:34.048	7.4
2026-03-25 21:22:34.766	4.0
2026-03-25 21:25:22.128	4.1
