=== Optimal k detection report ===

Elbow acceleration  -> k = 4
Silhouette          -> k = 6
Davies-Bouldin      -> k = 3
Calinski-Harabasz   -> k = 58

Cluster suggerito (voto): 4
Cluster human-friendly: 58

 k  silhouette  davies_bouldin  calinski_harabasz  largest_cluster_frac  singleton_frac  small_cluster_frac  human_score  eligible_human_rule
 2    0.438664        0.833989          58.635974              0.754545        0.000000            0.000000     0.485721                False
 3    0.428613        0.676341          65.436210              0.700000        0.000000            0.000000     0.540941                False
 4    0.521421        0.684475         185.379140              0.354545        0.000000            0.000000     0.831410                False
 5    0.517093        0.851015         147.707610              0.354545        0.000000            0.200000     0.721816                False
 6    0.522887        1.209845         120.928343              0.354545        0.000000            0.166667     0.611353                False
 7    0.482900        1.153507         104.804780              0.354545        0.142857            0.285714     0.518100                False
 8    0.459347        1.016462          94.512988              0.354545        0.250000            0.375000     0.483633                False
 9    0.444343        1.054777          97.156139              0.354545        0.222222            0.333333     0.471249                False
10    0.384084        0.990386          86.499092              0.345455        0.300000            0.400000     0.388746                False
11    0.394526        0.921562         106.930397              0.345455        0.272727            0.363636     0.446976                False
12    0.400437        1.343959          99.072428              0.345455        0.250000            0.333333     0.337408                False
13    0.394844        1.242917          93.048063              0.345455        0.384615            0.384615     0.314389                False
14    0.384663        1.259411          85.295029              0.345455        0.428571            0.428571     0.275257                False
15    0.358823        1.196548          80.559584              0.336364        0.466667            0.466667     0.248771                False
16    0.372243        1.279512          96.137775              0.336364        0.437500            0.437500     0.262820                False
17    0.349249        1.376664          97.286166              0.336364        0.470588            0.470588     0.197308                False
18    0.354470        1.158876         107.602012              0.336364        0.444444            0.555556     0.266519                False
19    0.346017        1.122741         102.746119              0.318182        0.421053            0.578947     0.271795                False
20    0.334735        1.075973         112.309921              0.318182        0.450000            0.600000     0.269234                False
21    0.331366        1.020800         108.824393              0.318182        0.428571            0.619048     0.281252                False
22    0.324491        1.035191         103.644789              0.318182        0.454545            0.636364     0.256720                False
23    0.324374        0.980057         109.921000              0.318182        0.434783            0.652174     0.279447                False
24    0.341456        1.115567         104.940467              0.318182        0.416667            0.625000     0.264590                False
25    0.321564        1.096210         104.339382              0.290909        0.400000            0.600000     0.263842                False
26    0.317952        1.176093         103.557807              0.290909        0.384615            0.576923     0.243787                False
27    0.318301        1.140188         102.570248              0.290909        0.407407            0.592593     0.245663                False
28    0.313482        1.119883         102.509411              0.290909        0.428571            0.607143     0.238628                False
29    0.311329        1.076685          99.126275              0.290909        0.448276            0.655172     0.234012                False
30    0.308489        1.025746         106.825192              0.290909        0.466667            0.666667     0.244676                False
31    0.291731        0.999347         104.598663              0.281818        0.483871            0.677419     0.228934                False
32    0.285846        1.025408         101.073317              0.281818        0.500000            0.687500     0.206905                False
33    0.292050        0.981416         118.067057              0.281818        0.484848            0.666667     0.245521                False
34    0.287838        0.951220         117.344598              0.281818        0.529412            0.676471     0.236364                False
35    0.291588        0.917414         118.391054              0.281818        0.542857            0.714286     0.241879                False
36    0.296885        0.993784         114.795662              0.154545        0.527778            0.694444     0.268237                False
37    0.292937        0.990697         112.099152              0.154545        0.513514            0.729730     0.261087                False
38    0.290068        0.955446         118.526405              0.154545        0.526316            0.736842     0.268373                False
39    0.289524        0.869350         126.040965              0.154545        0.538462            0.769231     0.289903                False
40    0.281785        0.899906         142.201672              0.154545        0.525000            0.775000     0.286835                False
41    0.272537        0.805957         151.401700              0.154545        0.536585            0.804878     0.302744                False
42    0.263482        0.797534         146.414468              0.154545        0.547619            0.809524     0.288098                False
43    0.271312        0.844857         150.052989              0.154545        0.534884            0.790698     0.291861                False
44    0.273383        0.814790         161.843108              0.154545        0.545455            0.818182     0.304498                False
45    0.270521        0.866935         161.878566              0.154545        0.533333            0.800000     0.292232                False
46    0.266971        0.860328         155.986710              0.154545        0.543478            0.804348     0.282752                False
47    0.257750        0.850007         151.347965              0.154545        0.574468            0.808511     0.263801                False
48    0.238998        0.825888         192.838632              0.154545        0.562500            0.791667     0.285548                False
49    0.233682        0.797255         202.221248              0.154545        0.591837            0.795918     0.286679                False
50    0.234691        0.838176         224.440616              0.154545        0.580000            0.820000     0.291532                False
51    0.231345        0.824863         218.187036              0.154545        0.607843            0.823529     0.279628                False
52    0.227282        0.840939         212.139236              0.154545        0.615385            0.826923     0.263784                False
53    0.223940        0.865134         204.611967              0.154545        0.603774            0.830189     0.250155                False
54    0.213031        0.804792         207.885909              0.109091        0.592593            0.814815     0.276462                False
55    0.211860        0.842981         201.388450              0.109091        0.581818            0.818182     0.261751                False
56    0.207059        0.752605         200.862379              0.109091        0.607143            0.821429     0.275067                False
57    0.205558        0.773364         237.876399              0.109091        0.614035            0.842105     0.289443                False
58    0.212052        0.730584         265.925746              0.109091        0.603448            0.844828     0.331358                False
59    0.210859        0.719660         257.162689              0.109091        0.627119            0.847458     0.320509                False
60    0.206722        0.723415         248.405387              0.109091        0.650000            0.850000     0.302435                False
